Wavelengths,Int1,Int2
5128.0,274661.71392362315,81753.45109243446
5129.0,276276.92177285283,81763.51855135601
5130.0,277428.11489379033,81773.56814565878
5131.0,278214.8822792055,81783.59988283747
5132.0,278733.15860357846,81793.61377039342
5133.0,279064.8846228347,81803.6098158341
5134.0,279273.91968798736,81813.5880266735
5135.0,279406.367077747,81823.5484104316
5136.0,279493.341706492,81833.49097463483
5137.0,279554.5909674409,81843.4157268156
5138.0,279601.9491123116,81853.32267451289
5139.0,279642.13287539943,81863.21182527138
5140.0,279678.76083351555,81873.08318664256
5141.0,279713.68667214713,81882.93676618347
5142.0,279747.81456912716,81892.77257145764
5143.0,279781.56494122243,81902.59061003463
5144.0,279815.1243077701,81912.39088948983
5145.0,279848.5716904711,81922.17341740527
5146.0,279881.9390861026,81931.93820136844
5147.0,279915.2388901308,81941.68524897346
5148.0,279948.4757057729,81951.41456781999
5149.0,279981.6511796607,81961.12616551387
5150.0,280014.7658870337,81970.82004966693
5151.0,280047.8200321343,81980.49622789703
5152.0,280080.8136963906,81990.15470782787
5153.0,280113.746922355,81999.7954970893
5154.0,280146.6197408141,82009.41860331674
5155.0,280179.4321791573,82019.0240341517
5156.0,280212.184263846,82028.6117972418
5157.0,280244.876021108,82038.18190024012
5158.0,280277.5074771277,82047.7343508058
5159.0,280310.0786580934,82057.26915660378
5160.0,280342.58959020965,82066.78632530481
5161.0,280375.0402996996,82076.28586458531
5162.0,280407.43081280676,82085.76778212779
5163.0,280439.76115579344,82095.23208562013
5164.0,280472.0313549423,82104.67878275628
5165.0,280504.24143655476,82114.10788123566
5166.0,280536.39142695226,82123.51938876354
5167.0,280568.4813524755,82132.91331305081
5168.0,280600.5112394844,82142.28966181405
5169.0,280632.481114359,82151.64844277562
5170.0,280664.3910034969,82160.98966366316
5171.0,280696.2409333169,82170.31333221038
5172.0,280728.03093025525,82179.61945615623
5173.0,280759.76102076826,82188.9080432454
5174.0,280791.43123133085,82198.17910122813
5175.0,280823.0415884372,82207.43263786026
5176.0,280854.5921185996,82216.66866090288
5177.0,280886.08284835046,82225.88717812308
5178.0,280917.51380423916,82235.08819729283
5179.0,280948.88501283614,82244.2717261903
5180.0,280980.1965007279,82253.43777259838
5181.0,281011.44829452166,82262.58634430596
5182.0,281042.6404208421,82271.71744910709
5183.0,281073.7729063325,82280.83109480128
5184.0,281104.8457776551,82289.92728919354
5185.0,281135.8590614888,82299.00604009382
5186.0,281166.8127845336,82308.06735531818
5187.0,281197.70697350526,82317.11124268733
5188.0,281228.5416551389,82326.13771002764
5189.0,281259.3168561871,82335.14676517063
5190.0,281290.0326034218,82344.13841595339
5191.0,281320.68892363063,82353.11267021771
5192.0,281351.28584362165,82362.06953581129
5193.0,281381.82339021924,82371.00902058664
5194.0,281412.30159026646,82379.93113240172
5195.0,281442.72047062323,82388.83587911945
5196.0,281473.0800581685,82397.72326860832
5197.0,281503.38037979684,82406.59330874133
5198.0,281533.62146242266,82415.44600739739
5199.0,281563.80333297694,82424.28137246017
5200.0,281593.9260184075,82433.09941181832
5201.0,281623.98954568064,82441.9001333659
5202.0,281653.993941779,82450.68354500174
5203.0,281683.9392337041,82459.44965463018
5204.0,281713.825448473,82468.19847016007
5205.0,281743.65261312044,82476.92999950564
5206.0,281773.42075469886,82485.64425058603
5207.0,281803.1299002777,82494.34123132552
5208.0,281832.7800769425,82503.02094965309
5209.0,281862.37131179724,82511.68341350301
5210.0,281891.9036319609,82520.32863081413
5211.0,281921.37706457154,82528.95660953068
5212.0,281950.791636782,82537.56735760137
5213.0,281980.1473757631,82546.1608829801
5214.0,282009.44430870225,82554.73719362565
5215.0,282038.68246280216,82563.29629750128
5216.0,282067.8618652846,82571.8382025758
5217.0,282096.9825433849,82580.36291682204
5218.0,282126.0445243576,82588.8704482184
5219.0,282155.04783547175,82597.36080474757
5220.0,282183.99250401347,82605.83399439721
5221.0,282212.8785572849,82614.29002515969
5222.0,282241.70602260483,82622.72890503223
5223.0,282270.4749273075,82631.1506420166
5224.0,282299.1852987449,82639.55524411975
5225.0,282327.8371642822,82647.94271935249
5226.0,282356.4305513038,82656.31307573123
5227.0,282384.9654872073,82664.6663212761
5228.0,282413.44199940836,82673.00246401202
5229.0,282441.86011533736,82681.32151196574
5230.0,282470.2198624402,82689.62347315806
5231.0,282498.52126817993,82697.90835557187
5232.0,282526.764360033,82706.17616702514
5233.0,282554.949165494,82714.42691470648
5234.0,282583.0757120711,82722.66060352146
5235.0,282611.14402728935,82730.87723049292
5236.0,282639.15413868794,82739.07676660827
5237.0,282667.10607382254,82747.25910060803
5238.0,282694.99986026407,82755.42387273717
5239.0,282722.8355255979,82763.57000545909
5240.0,282750.6130974255,82771.69443999027
5241.0,282778.3326033636,82779.78889456234
5242.0,282805.99407104286,82787.83194570061
5243.0,282833.5975281104,82795.77063387542
5244.0,282861.14300222753,82803.4798899055
5245.0,282888.6305210708,82810.67770304487
5246.0,282916.06011233205,82816.75737546766
5247.0,282943.43180371687,82820.4747411625
5248.0,282970.7456229468,82819.40038515753
5249.0,282998.00159775757,82809.0235952733
5250.0,283025.19975589967,82781.3946045057
5251.0,283052.3401251383,82723.24388115773
5252.0,283079.42273325316,82613.65658253804
5253.0,283106.4476080385,82421.63216185138
5254.0,283133.41477730306,82104.21395536447
5255.0,283160.3242688699,81606.2575575004
5256.0,283187.17611057684,80863.16486981722
5257.0,283213.9703302754,79807.82485257451
5258.0,283240.7069558319,78382.36241016761
5259.0,283267.3860151269,76554.02141692278
5260.0,283294.00753605424,74332.76895044862
5261.0,283320.5715465235,71786.49234170048
5262.0,283347.0780744561,69048.68900458574
5263.0,283373.5271477895,66314.0258110179
5264.0,283399.9187944738,63819.40854335759
5265.0,283426.2530424744,61811.93082590261
5266.0,283452.52991976833,60509.229801474474
5267.0,283478.7494543485,60060.90220701729
5268.0,283504.91167422035,60520.4118488474
5269.0,283531.0166074036,61834.77852670294
5270.0,283557.0642819314,63854.7964577489
5271.0,283583.05472585064,66363.05868067061
5272.0,283608.9879672209,69112.51367804149
5273.0,283634.86403411644,71866.12635885102
5274.0,283660.68295462406,74428.97994836354
5275.0,283686.4447568448,76667.27353655334
5276.0,283712.149468892,78512.82663019936
5277.0,283737.7971188926,79955.43577921875
5278.0,283763.3877349876,81027.70020021097
5279.0,283788.9213453294,81787.41801864163
5280.0,283814.3979780853,82301.68831726915
5281.0,283839.81766143476,82635.1403927315
5282.0,283865.18042357045,82842.97143473812
5283.0,283890.48629269784,82968.19564448332
5284.0,283915.7352970353,83041.86531207402
5285.0,283940.92746481416,83084.9363930063
5286.0,283966.0628242787,83110.70814428954
5287.0,283991.1414036857,83127.15019889316
5288.0,284016.1632313044,83138.78565854125
5289.0,284041.1283354181,83148.05119480235
5290.0,284066.0367443203,83156.19498425857
5291.0,284090.88848631905,83163.82582500436
5292.0,284115.68358973385,83171.2267748328
5293.0,284140.42208289757,83178.52340343816
5294.0,284165.1039941538,83185.76890302883
5295.0,284189.72935186076,83192.98480548675
5296.0,284214.29818438686,83200.17944628488
5297.0,284238.8105201144,83207.35591503159
5298.0,284263.26638743625,83214.51531098218
5299.0,284287.665814759,83221.65801215949
5300.0,284312.00883050036,83228.78414684272
5301.0,284336.2954630902,83235.89376063315
5302.0,284360.5257409705,83242.9868729547
5303.0,284384.69969259534,83250.06349530262
5304.0,284408.8173464308,83257.12363687535
5305.0,284432.8787309542,83264.16730623611
5306.0,284456.8838746549,83271.19451178174
5307.0,284480.8328060342,83278.20526186939
5308.0,284504.7255536052,83285.19956484906
5309.0,284528.56214589195,83292.17742907151
5310.0,284552.3426114311,83299.13886289067
5311.0,284576.0669787695,83306.08387466327
5312.0,284599.7352764671,83313.01247274988
5313.0,284623.3475330937,83319.92466551397
5314.0,284646.90377723245,83326.8204613229
5315.0,284670.4040374754,83333.69986854665
5316.0,284693.84834242787,83340.56289555902
5317.0,284717.2367207054,83347.40955073692
5318.0,284740.5692009351,83354.23984246049
5319.0,284763.8458117555,83361.0537791134
5320.0,284787.06658181536,83367.85136908214
5321.0,284810.23153977544,83374.63262075683
5322.0,284833.34071430686,83381.39754253055
5323.0,284856.39413409197,83388.14614279974
5324.0,284879.39182782377,83394.8784299639
5325.0,284902.3338242071,83401.59441242598
5326.0,284925.2201519553,83408.29409859153
5327.0,284948.05083979596,83414.97749687008
5328.0,284970.82591646345,83421.64461567336
5329.0,284993.54541070655,83428.29546341715
5330.0,285016.2093512811,83434.93004851941
5331.0,285038.8177669569,83441.54837940211
5332.0,285061.37068651174,83448.15046448959
5333.0,285083.86813873466,83454.73631220948
5334.0,285106.31015242613,83461.30593099276
5335.0,285128.696756395,83467.85932927288
5336.0,285151.02797946235,83474.39651548682
5337.0,285173.3038504582,83480.91749807421
5338.0,285195.524398224,83487.42228547808
5339.0,285217.68965161016,83493.91088614395
5340.0,285239.799639478,83500.38330852064
5341.0,285261.8543906985,83506.83956105978
5342.0,285283.8539341536,83513.2796522162
5343.0,285305.79829873354,83519.70359044713
5344.0,285327.68751334044,83526.11138421329
5345.0,285349.52160688455,83532.50304197786
5346.0,285371.3006082878,83538.87857220732
5347.0,285393.02454648004,83545.23798337055
5348.0,285414.6934504017,83551.58128393948
5349.0,285436.307349004,83557.90848238925
5350.0,285457.86627124576,83564.21958719712
5351.0,285479.37024609745,83570.51460684389
5352.0,285500.8193025374,83576.7935498126
5353.0,285522.2134695548,83583.05642458946
5354.0,285543.5527761471,83589.30323966312
5355.0,285564.83725132217,83595.53400352524
5356.0,285586.06692409684,83601.7487246702
5357.0,285607.24182349764,83607.9474115951
5358.0,285628.3619785594,83614.13007279954
5359.0,285649.42741832806,83620.29671678635
5360.0,285670.43817185616,83626.4473520603
5361.0,285691.39426820824,83632.58198712968
5362.0,285712.2957364557,83638.70063050475
5363.0,285733.1426056799,83644.80329069875
5364.0,285753.93490497186,83650.8899762277
5365.0,285774.6726634301,83656.9606956098
5366.0,285795.3559101635,83663.01545736636
5367.0,285815.9846742883,83669.05427002077
5368.0,285836.5589849316,83675.07714209962
5369.0,285857.0788712275,83681.08408213154
5370.0,285877.54436231946,83687.07509864794
5371.0,285897.95548735984,83693.0502001828
5372.0,285918.3122755094,83699.00939527259
5373.0,285938.6147559379,83704.95269245634
5374.0,285958.862957823,83710.88010027549
5375.0,285979.05691035127,83716.79162727401
5376.0,285999.19664271816,83722.68728199854
5377.0,286019.28218412655,83728.56707299783
5378.0,286039.3135637889,83734.43100882346
5379.0,286059.2908109249,83740.27909802916
5380.0,286079.213954763,83746.11134917119
5381.0,286099.0830245405,83751.92777080834
5382.0,286118.8980495015,83757.72837150152
5383.0,286138.65905890014,83763.5131598145
5384.0,286158.3660819965,83769.28214431278
5385.0,286178.01914806076,83775.03533356488
5386.0,286197.61828637,83780.77273614125
5387.0,286217.1635262093,83786.49436061477
5388.0,286236.65489687206,83792.2002155607
5389.0,286256.0924276595,83797.8903095566
5390.0,286275.47614788014,83803.5646511822
5391.0,286294.8060868515,83809.22324901982
5392.0,286314.0822738977,83814.86611165371
5393.0,286333.3047383512,83820.49324767059
5394.0,286352.473509552,83826.10466565938
5395.0,286371.58861684747,83831.70037421118
5396.0,286390.6500895933,83837.28038191948
5397.0,286409.6579571513,83842.84469737958
5398.0,286428.61224889307,83848.39332918967
5399.0,286447.512994195,83853.92628594927
5400.0,286466.360222443,83859.4435762608
5401.0,286485.1539630294,83864.94520872844
5402.0,286503.8942453537,83870.43119195859
5403.0,286522.5810988233,83875.90153455983
5404.0,286541.21455285273,83881.35624514298
5405.0,286559.7946368633,83886.79533232066
5406.0,286578.32138028374,83892.21880470782
5407.0,286596.7948125496,83897.62667092135
5408.0,286615.21496310434,83903.01893958045
5409.0,286633.5818613979,83908.3956193062
5410.0,286651.8955368867,83913.7567187216
5411.0,286670.1560190349,83919.10224645199
5412.0,286688.363337313,83924.43221112438
5413.0,286706.5175211991,83929.74662136818
5414.0,286724.61860017723,83935.04548581447
5415.0,286742.6666037389,83940.32881309648
5416.0,286760.6615613816,83945.59661184927
5417.0,286778.6035026106,83950.84889071011
5418.0,286796.49245693686,83956.08565831798
5419.0,286814.3284538782,83961.30692331387
5420.0,286832.1115229592,83966.51269434072
5421.0,286849.84169371094,83971.70298004338
5422.0,286867.51899567014,83976.87778906836
5423.0,286885.14345838147,83982.03713006446
5424.0,286902.7151113955,83987.18101168227
5425.0,286920.23398426815,83992.30944257393
5426.0,286937.70010656264,83997.42243139366
5427.0,286955.11350784835,84002.51998679759
5428.0,286972.4742177007,84007.60211744349
5429.0,286989.7822657008,84012.66883199089
5430.0,287007.03768143756,84017.72013910156
5431.0,287024.2404945034,84022.75604743834
5432.0,287041.39073449984,84027.77656566666
5433.0,287058.4884310319,84032.78170245305
5434.0,287075.53361371165,84037.77146646609
5435.0,287092.5263121572,84042.74586637606
5436.0,287109.46655599226,84047.70491085497
5437.0,287126.35437484714,84052.64860857671
5438.0,287143.18979835615,84057.57696821635
5439.0,287159.97285616153,84062.4899984513
5440.0,287176.70357791,84067.38770796025
5441.0,287193.38199325406,84072.27010542362
5442.0,287210.0081318525,84077.1371995236
5443.0,287226.582023369,84081.98899894393
5444.0,287243.10369747295,84086.82551236988
5445.0,287259.5731838398,84091.64674848864
5446.0,287275.9905121497,84096.45271598865
5447.0,287292.3557120896,84101.24342356042
5448.0,287308.66881334997,84106.01887989546
5449.0,287324.92984562815,84110.77909368728
5450.0,287341.13883862604,84115.52407363075
5451.0,287357.295822051,84120.25382842233
5452.0,287373.4008256165,84124.96836676025
5453.0,287389.45387903944,84129.66769734379
5454.0,287405.455012044,84134.35182887432
5455.0,287421.4042543572,84139.02077005405
5456.0,287437.30163571343,84143.67452958733
5457.0,287453.1471858505,84148.31311617958
5458.0,287468.9409345118,84152.93653853775
5459.0,287484.68291144614,84157.54480537047
5460.0,287500.3731464065,84162.13792538755
5461.0,287516.01166915096,84166.71590730028
5462.0,287531.59850944276,84171.2787598215
5463.0,287547.1336970499,84175.82649166539
5464.0,287562.6172617452,84180.35911154757
5465.0,287578.0492333051,84184.87662818476
5466.0,287593.429641513,84189.37905029564
5467.0,287608.7585161552,84193.86638659981
5468.0,287624.0358870225,84198.33864581812
5469.0,287639.2617839117,84202.7958366732
5470.0,287654.4362366226,84207.23796788864
5471.0,287669.559274961,84211.66504818965
5472.0,287684.63092873595,84216.07708630244
5473.0,287699.65122776123,84220.4740909547
5474.0,287714.62020185584,84224.8560708755
5475.0,287729.5378808419,84229.22303479492
5476.0,287744.40429454605,84233.57499144434
5477.0,287759.21947280044,84237.91194955673
5478.0,287773.98344543984,84242.23391786589
5479.0,287788.6962423046,84246.54090510713
5480.0,287803.35789323767,84250.83292001668
5481.0,287817.9684280881,84255.10997133244
5482.0,287832.5278767074,84259.37206779305
5483.0,287847.03626895143,84263.61921813848
5484.0,287861.49363468116,84267.85143111012
5485.0,287875.90000375954,84272.06871545
5486.0,287890.2554060558,84276.27107990193
5487.0,287904.55987144104,84280.45853321037
5488.0,287918.8134297914,84284.63108412111
5489.0,287933.01611098635,84288.78874138101
5490.0,287947.1679449094,84292.93151373813
5491.0,287961.2689614476,84297.05940994147
5492.0,287975.31919049216,84301.17243874137
5493.0,287989.31866193673,84305.2706088888
5494.0,288003.2674056804,84309.35392913633
5495.0,288017.1654516241,84313.42240823708
5496.0,288031.0128296736,84317.47605494561
5497.0,288044.80956973793,84321.51487801742
5498.0,288058.55570172874,84325.53888620876
5499.0,288072.2512555628,84329.54808827736
5500.0,288085.8962611581,84333.54249298139
5501.0,288099.4907484384,84337.52210908062
5502.0,288113.03474732814,84341.48694533508
5503.0,288126.5282877579,84345.43701050655
5504.0,288139.97139965923,84349.37231335715
5505.0,288153.3641129683,84353.29286265027
5506.0,288166.7064576237,84357.19866715008
5507.0,288179.99846356764,84361.0897356218
5508.0,288193.2401607449,84364.96607683142
5509.0,288206.4315791041,84368.82769954592
5510.0,288219.57274859614,84372.67461253316
5511.0,288232.66369917576,84376.50682456195
5512.0,288245.70446079975,84380.32434440179
5513.0,288258.6950634286,84384.12718082326
5514.0,288271.63553702534,84387.91534259763
5515.0,288284.5259115552,84391.68883849685
5516.0,288297.3662169883,84395.4476772943
5517.0,288310.1564832951,84399.19186776345
5518.0,288322.8967404507,84402.92141867917
5519.0,288335.5870184316,84406.63633881665
5520.0,288348.2273472175,84410.33663695214
5521.0,288360.81775679113,84414.02232186265
5522.0,288373.3582771372,84417.69340232587
5523.0,288385.8489382433,84421.34988712025
5524.0,288398.28977009974,84424.9917850251
5525.0,288410.6808026988,84428.61910482029
5526.0,288423.0220660359,84432.23185528662
5527.0,288435.3135901083,84435.83004520538
5528.0,288447.5554049163,84439.41368335878
5529.0,288459.747540462,84442.9827785296
5530.0,288471.8900267496,84446.53733950114
5531.0,288483.9828937866,84450.07737505778
5532.0,288496.02617158194,84453.6028939842
5533.0,288508.01989014714,84457.11390506595
5534.0,288519.96407949587,84460.61041708913
5535.0,288531.8587696433,84464.09243884032
5536.0,288543.70399060793,84467.55997910703
5537.0,288555.49977240973,84471.01304667725
5538.0,288567.24614507,84474.45165033938
5539.0,288578.94313861395,84477.87579888283
5540.0,288590.59078306623,84481.28550109704
5541.0,288602.18910845555,84484.68076577247
5542.0,288613.73814481177,84488.06160170003
5543.0,288625.2379221665,84491.42801767106
5544.0,288636.68847055355,84494.78002247761
5545.0,288648.08982000814,84498.1176249121
5546.0,288659.442000568,84501.44083376773
5547.0,288670.7450422708,84504.7496578376
5548.0,288681.9989751583,84508.04410591611
5549.0,288693.2038292723,84511.32418679759
5550.0,288704.3596346571,84514.58990927714
5551.0,288715.4664213576,84517.84128215004
5552.0,288726.52421942196,84521.0783142125
5553.0,288737.5330588981,84524.30101426068
5554.0,288748.4929698362,84527.50939109139
5555.0,288759.4039822882,84530.70345350196
5556.0,288770.2661263067,84533.88321028992
5557.0,288781.0794319473,84537.04867025364
5558.0,288791.84392926464,84540.19984219127
5559.0,288802.55964831635,84543.33673490182
5560.0,288813.2266191609,84546.4593571845
5561.0,288823.8448718587,84549.56771783912
5562.0,288834.4144364694,84552.66182566527
5563.0,288844.9353430567,84555.74168946374
5564.0,288855.40762168256,84558.80731803481
5565.0,288865.8313024128,84561.85872017985
5566.0,288876.2064153115,84564.89590469988
5567.0,288886.5329904444,84567.91888039683
5568.0,288896.8110578699,84570.92765607245
5569.0,288907.04064761975,84573.92224052903
5570.0,288917.22178960964,84576.9026425692
5571.0,288927.35451329476,84579.86887099557
5572.0,288937.43884640146,84582.82093461149
5573.0,288947.474810419,84585.75884222017
5574.0,288957.4624053273,84588.6826026251
5575.0,288967.401560102,84591.59222463016
5576.0,288977.2919794484,84594.48771703946
5577.0,288987.13269054994,84597.36908865714
5578.0,288996.9207637301,84600.23634828783
5579.0,289006.64786832634,84603.08950473594
5580.0,289016.2914366234,84605.92856680657
5581.0,289025.79308135883,84608.7535433047
5582.0,289035.0084659845,84611.56444303556
5583.0,289043.59673961106,84614.36127480443
5584.0,289050.78938606736,84617.14404741696
5585.0,289054.93319085444,84619.91276967862
5586.0,289052.63813214196,84622.6674503954
5587.0,289037.2852179351,84625.40809837323
5588.0,288996.5859174399,84628.13472241796
5589.0,288908.88451749965,84630.84733133604
5590.0,288738.03710845666,84633.54593393343
5591.0,288427.0806467983,84636.23053901663
5592.0,287891.5915752088,84638.90115539191
5593.0,287014.5995913594,84641.55779186591
5594.0,285645.967094271,84644.20045724505
5595.0,283609.8462657492,84646.82916033598
5596.0,280723.59007939947,84649.44390994524
5597.0,276829.7500103701,84652.04471487962
5598.0,271839.3192711805,84654.63158394558
5599.0,265779.6463177956,84657.20452595013
5600.0,258835.77592710796,84659.76354969975
5601.0,251371.33546081497,84662.30866400104
5602.0,243916.3890290395,84664.83987766104
5603.0,237115.85116350147,84667.35719948608
5604.0,231642.20509933413,84669.86063828302
5605.0,228087.58614334324,84672.35020285829
5606.0,226858.79214310515,84674.82590201857
5607.0,228100.88673046333,84677.2877445701
5608.0,231669.22168070587,84679.73573931948
5609.0,237157.33497778722,84682.16989507306
5610.0,243973.2890639037,84684.59022063714
5611.0,251444.6369206418,84686.99672481754
5612.0,258926.3530073962,84689.38941642069
5613.0,265888.1586272201,84691.7683042522
5614.0,271966.1657980854,84694.13339711826
5615.0,276975.0779947262,84696.48470382435
5616.0,280887.34378561587,84698.8222331759
5617.0,283791.8352308626,84701.14599397857
5618.0,285845.93478617346,84703.45599503734
5619.0,287232.2792488252,84705.75224515762
5620.0,288126.7432751535,84708.03475314392
5621.0,288679.50984613644,84710.30352780137
5622.0,289007.59872830554,84712.55857793413
5623.0,289195.47796772484,84714.79991234675
5624.0,289300.14596673986,84717.0275398433
5625.0,289357.77221331955,84719.24146922774
5626.0,289390.02953065437,84721.44170930352
5627.0,289409.2171378549,84723.62826887432
5628.0,289421.9603062953,84725.80115674315
5629.0,289431.6525489634,84727.9603817132
5630.0,289439.9489305922,84730.1059525869
5631.0,289447.61891287146,84732.23787816682
5632.0,289455.0038227234,84734.35616725514
5633.0,289462.24824264843,84736.46082865346
5634.0,289469.4106991051,84738.55187116358
5635.0,289476.51385201,84740.62930358654
5636.0,289483.5661045697,84742.69313472357
5637.0,289490.57045118033,84744.74337337489
5638.0,289497.5279264128,84746.78002834113
5639.0,289504.43888624216,84748.80310842203
5640.0,289511.30346200254,84750.81262241729
5641.0,289518.12171389966,84752.80857912607
5642.0,289524.8936805897,84754.79098734731
5643.0,289531.61939447914,84756.75985587951
5644.0,289538.2988862387,84758.71519352077
5645.0,289544.93218607624,84760.65700906879
5646.0,289551.51932408125,84762.58531132105
5647.0,289558.06033031305,84764.50010907442
5648.0,289564.5552348222,84766.40141112535
5649.0,289571.0040676576,84768.28922627008
5650.0,289577.4068588646,84770.16356330406
5651.0,289583.76363848895,84772.02443102277
5652.0,289590.0744365729,84773.8718382207
5653.0,289596.3392831593,84775.70579369256
5654.0,289602.5582082875,84777.52630623191
5655.0,289608.731241996,84779.33338463222
5656.0,289614.85841432173,84781.12703768638
5657.0,289620.9397553003,84782.90727418699
5658.0,289626.97529496416,84784.67410292562
5659.0,289632.9650633464,84786.42753269411
5660.0,289638.90909047564,84788.16757228297
5661.0,289644.8074063811,84789.89423048287
5662.0,289650.6600410889,84791.60751608355
5663.0,289656.4670246237,84793.30743787438
5664.0,289662.2283870082,84794.99400464415
5665.0,289667.94415826275,84796.6672251809
